"CO001","CO002","CO003","CO004","CO005","CO006","CO007","CO008","CO009","CO010","CO011","CO012","CO013","CO014","CO015","CO016","CO017","CO018","CO019","CO020","CO021","CO022","CO023","CO024","CO025","CO026","CO027","CO028","CO029","CO030","CO031","CO032","CO033","CO034","CO035","CO036","CO037","CO038","CO039","CO040","CO041","CO042","CO043","CO044","CO045","CO046","CO047","CO048","CO049","CO050","CO051","CO052","CO053","ENTHA","TEMPE","Points:0","Points:1","Points:2"
1.2062e-126,1.3092e-129,1.1542e-128,0.1165,1.6263e-127,6.1824e-125,6.8662e-129,1.3112e-129,1.305e-140,1.0719e-137,2.1629e-133,1.7401e-134,1.4238e-128,0.5,2.0315e-125,5.2319e-125,4.5153e-133,2.9443e-127,1.6778e-134,1.9922e-129,4.0896e-128,5.2747e-138,8.7089e-127,2.7216e-134,8.1255e-127,3.7411e-131,8.1638e-127,1.6736e-133,1.3114e-127,1.4386e-129,6.6567e-133,1.6247e-133,3.6402e-132,8.2603e-129,7.2823e-134,4.2384e-127,5.0171e-128,3.1949e-130,2.0057e-131,6.2606e-138,3.405e-128,4.759e-133,2.5141e-138,6.185e-129,2.6527e-131,1.7849e-128,8.618e-134,0.3835,1.7186e-155,2.9055e-131,4.6876e-129,2.3392e-131,3.1055e-129,-2.322e+06,300,0.001204,0.00026846,0
1.3369e-129,1.5233e-132,1.3428e-131,0.1165,1.8924e-130,6.9206e-128,7.6907e-132,1.4642e-132,1.4219e-143,1.2125e-140,2.4423e-136,1.9667e-137,1.5894e-131,0.5,2.2559e-128,5.8773e-128,5.0964e-136,3.2733e-130,1.8918e-137,2.2399e-132,4.5586e-131,5.9102e-141,9.6149e-130,3.0293e-137,8.9927e-130,4.1859e-134,9.0575e-130,1.8612e-136,1.4515e-130,1.5911e-132,7.7448e-136,1.8693e-136,4.0694e-135,9.1142e-132,8.4742e-137,4.8151e-130,5.6028e-131,3.5497e-133,2.2667e-134,7.2674e-141,3.765e-131,5.2938e-136,2.8449e-141,6.8418e-132,2.9381e-134,1.975e-131,9.6594e-137,0.3835,1.8665e-158,3.2208e-134,5.2081e-132,2.6041e-134,3.4549e-132,-2.322e+06,300,0.00080268,0.00053691,0
1.3817e-129,1.5753e-132,1.3886e-131,0.1165,1.9569e-130,7.1524e-128,7.9419e-132,1.5123e-132,1.4711e-143,1.2514e-140,2.5208e-136,2.0298e-137,1.6417e-131,0.5,2.3314e-128,6.0741e-128,5.2636e-136,3.3819e-130,1.9527e-137,2.3123e-132,4.709e-131,6.1026e-141,9.9394e-130,3.1296e-137,9.2945e-130,4.3227e-134,9.3597e-130,1.9229e-136,1.5002e-130,1.6445e-132,8.0091e-136,1.9325e-136,4.2029e-135,9.4223e-132,8.7634e-137,4.9766e-130,5.7868e-131,3.6685e-133,2.3408e-134,7.5147e-141,3.8917e-131,5.4693e-136,2.9362e-141,7.0717e-132,3.0365e-134,2.0414e-131,9.9748e-137,0.3835,1.9319e-158,3.3285e-134,5.3813e-132,2.6902e-134,3.5694e-132,-2.322e+06,300,0.00080268,0,0
1.3208e-131,1.5595e-134,1.3746e-133,0.1165,1.9374e-132,6.8896e-130,7.6633e-134,1.4554e-134,1.3875e-145,1.2176e-142,2.4493e-138,1.9737e-139,1.5795e-133,0.5,2.2321e-130,5.8665e-130,5.1073e-138,3.2421e-132,1.8952e-139,2.2388e-134,4.5249e-133,5.891e-143,9.4698e-132,3.0032e-139,8.8744e-132,4.1675e-136,8.9564e-132,1.8438e-138,1.4325e-132,1.5693e-134,7.9283e-138,1.8987e-138,4.0484e-137,8.9724e-134,8.676e-139,4.8467e-132,5.5698e-133,3.5138e-135,2.2738e-136,7.428e-143,3.7129e-133,5.2457e-138,2.8577e-143,6.7492e-134,2.9012e-136,1.9488e-133,9.6299e-139,0.3835,1.8143e-160,3.1826e-136,5.1558e-134,2.5819e-136,3.4239e-134,-2.322e+06,300,0.00053512,0.0009396,0
1.4903e-131,1.7626e-134,1.5535e-133,0.1165,2.1897e-132,7.772e-130,8.6221e-134,1.6386e-134,1.571e-145,1.3674e-142,2.7512e-138,2.2166e-139,1.7783e-133,0.5,2.518e-130,6.6178e-130,5.7488e-138,3.6541e-132,2.129e-139,2.5164e-134,5.0964e-133,6.6257e-143,1.0692e-131,3.3838e-139,1.0014e-131,4.6894e-136,1.01e-131,2.078e-138,1.6164e-132,1.7711e-134,8.9607e-138,2.1439e-138,4.5572e-137,1.0132e-133,9.806e-139,5.4681e-132,6.2702e-133,3.9637e-135,2.5586e-136,8.3929e-143,4.1906e-133,5.9115e-138,3.2093e-143,7.6168e-134,3.2731e-136,2.1991e-133,1.0834e-138,0.3835,2.0571e-160,3.5897e-136,5.8119e-134,2.909e-136,3.8582e-134,-2.322e+06,300,0.00053512,0,0
5.122e-135,6.6999e-138,5.903e-137,0.1165,8.3237e-136,2.7275e-133,3.0085e-137,5.6906e-138,5.2925e-149,4.8495e-146,9.7251e-142,7.8459e-143,6.1713e-137,0.5,8.6857e-134,2.3397e-133,2.0408e-141,1.2604e-135,7.5045e-143,8.8293e-138,1.7649e-136,2.3113e-146,3.6507e-135,1.169e-142,3.4312e-135,1.6328e-139,3.4732e-135,7.1697e-142,5.5394e-136,6.0627e-138,3.4053e-141,7.9643e-142,1.5853e-140,3.4565e-137,3.7279e-142,1.9785e-135,2.1774e-136,1.3686e-138,9.1001e-140,3.1746e-146,1.434e-136,2.0408e-141,1.1389e-146,2.608e-137,1.1227e-139,7.5332e-137,3.7851e-142,0.3835,6.8581e-164,1.2329e-139,2.0027e-137,1.0052e-139,1.3321e-137,-2.322e+06,300,0,0.00026846,0
4.96e-135,6.4806e-138,5.7098e-137,0.1165,8.0512e-136,2.641e-133,2.9152e-137,5.5135e-138,5.121e-149,4.7009e-146,9.427e-142,7.6057e-143,5.9792e-137,0.5,8.4113e-134,2.2654e-133,1.9771e-141,1.2209e-135,7.2745e-143,8.5577e-138,1.7099e-136,2.2399e-146,3.5348e-135,1.1324e-142,3.3227e-135,1.5822e-139,3.3639e-135,6.945e-142,5.3643e-136,5.8708e-138,3.2939e-141,7.7067e-142,1.536e-140,3.3466e-137,3.6058e-142,1.9153e-135,2.1097e-136,1.3254e-138,8.8165e-140,3.0709e-146,1.3886e-136,1.9769e-141,1.104e-146,2.5255e-137,1.0873e-139,7.2949e-137,3.6678e-142,0.3835,6.634e-164,1.194e-139,1.9398e-137,9.7376e-140,1.2903e-137,-2.322e+06,300,0,0.00053691,0
4.7213e-135,6.1583e-138,5.4259e-137,0.1165,7.6508e-136,2.5136e-133,2.7782e-137,5.2529e-138,4.8677e-149,4.4828e-146,8.9894e-142,7.2532e-143,5.6965e-137,0.5,8.0068e-134,2.1559e-133,1.8834e-141,1.1627e-135,6.9367e-143,8.1585e-138,1.6288e-136,2.1349e-146,3.3638e-135,1.0786e-142,3.1628e-135,1.5078e-139,3.2028e-135,6.614e-142,5.1061e-136,5.5878e-138,3.1301e-141,7.328e-142,1.4635e-140,3.1845e-137,3.4265e-142,1.8223e-135,2.01e-136,1.2617e-138,8.3996e-140,2.9187e-146,1.3216e-136,1.8827e-141,1.0528e-146,2.4038e-137,1.035e-139,6.9437e-137,3.4953e-142,0.3835,6.3024e-164,1.1367e-139,1.8472e-137,9.2746e-140,1.2289e-137,-2.322e+06,300,0,0.00080537,0
1.398e-131,1.6515e-134,1.4556e-133,0.1165,2.0516e-132,7.2907e-130,8.0989e-134,1.5387e-134,1.4712e-145,1.2856e-142,2.5863e-138,2.0839e-139,1.6699e-133,0.5,2.3622e-130,6.2079e-130,5.3985e-138,3.4295e-132,2.0013e-139,2.3648e-134,4.7848e-133,6.2248e-143,1.0027e-131,3.1763e-139,9.3931e-132,4.4046e-136,9.4766e-132,1.9503e-138,1.5162e-132,1.6612e-134,8.3957e-138,2.0098e-138,4.2796e-137,9.5006e-134,9.1876e-139,5.1286e-132,5.8881e-133,3.7185e-135,2.403e-136,7.865e-143,3.9303e-133,5.5485e-138,3.0172e-143,7.1442e-134,3.0705e-136,2.0627e-133,1.0177e-138,0.3835,1.9251e-160,3.3679e-136,5.4543e-134,2.7307e-136,3.6214e-134,-2.322e+06,300,0.00053512,0.00067114,0
1.312e-133,1.6108e-136,1.4196e-135,0.1165,2.0011e-134,6.9015e-132,7.6779e-136,1.4546e-136,1.3623e-147,1.2297e-144,2.4703e-140,1.992e-141,1.5781e-135,0.5,2.2207e-132,5.8938e-132,5.1498e-140,3.2284e-134,1.9091e-141,2.25e-136,4.5157e-135,5.9035e-145,9.3764e-134,2.9933e-141,8.8043e-134,4.1716e-138,8.9037e-134,1.8364e-140,1.4213e-134,1.5561e-136,8.1882e-140,1.9444e-140,4.0494e-139,8.8796e-136,8.9616e-141,4.9139e-134,5.5669e-135,3.4976e-137,2.295e-138,7.6583e-145,3.6809e-135,5.2259e-140,2.8871e-145,6.6933e-136,2.8801e-138,1.9331e-135,9.6532e-141,0.3835,1.7727e-162,3.1616e-138,5.1313e-136,2.5737e-138,3.4113e-136,-2.322e+06,300,0.00026756,0.0012081,0
1.5855e-133,1.9537e-136,1.7217e-135,0.1165,2.4271e-134,8.3383e-132,9.2333e-136,1.7512e-136,1.6559e-147,1.4744e-144,2.9625e-140,2.3882e-141,1.9e-135,0.5,2.6829e-132,7.1212e-132,6.1987e-140,3.8939e-134,2.2898e-141,2.7012e-136,5.4403e-135,7.0952e-145,1.1344e-133,3.6084e-141,1.0641e-133,5.0175e-138,1.0749e-133,2.2147e-140,1.7177e-134,1.8812e-136,9.9311e-140,2.3539e-140,4.8739e-139,1.0746e-135,1.087e-140,5.9397e-134,6.7011e-135,4.225e-137,2.7611e-138,9.2838e-145,4.4503e-135,6.3019e-140,3.4613e-145,8.0911e-136,3.4796e-138,2.3365e-135,1.1608e-140,0.3835,2.16e-162,3.8183e-138,6.1908e-136,3.1024e-138,4.1132e-136,-2.322e+06,300,0.00026756,0,0
1.2072e-126,1.3103e-129,1.1552e-128,0.1165,1.6277e-127,6.1874e-125,6.8708e-129,1.3121e-129,1.3063e-140,1.0725e-137,2.1641e-133,1.7411e-134,1.4248e-128,0.5,2.0331e-125,5.2361e-125,4.5184e-133,2.9465e-127,1.6788e-134,1.9934e-129,4.0925e-128,5.2781e-138,8.7164e-127,2.7236e-134,8.1321e-127,3.7436e-131,8.1702e-127,1.6749e-133,1.3125e-127,1.4398e-129,6.6626e-133,1.626e-133,3.6427e-132,8.2675e-129,7.2888e-134,4.2418e-127,5.0206e-128,3.1974e-130,2.007e-131,6.266e-138,3.4078e-128,4.7626e-133,2.5156e-138,6.1901e-129,2.6549e-131,1.7864e-128,8.6237e-134,0.3835,1.7204e-155,2.9079e-131,4.6912e-129,2.341e-131,3.1078e-129,-2.322e+06,300,0.001204,0.00013423,0
1.2831e-128,1.4375e-131,1.2672e-130,0.1165,1.7857e-129,6.6197e-127,7.3573e-131,1.402e-131,1.372e-142,1.1562e-139,2.3304e-135,1.876e-136,1.5222e-130,0.5,2.1638e-127,5.6148e-127,4.8623e-135,3.1388e-129,1.806e-136,2.1402e-131,4.3677e-130,5.6536e-140,9.2401e-129,2.9038e-136,8.6355e-129,4.0059e-133,8.691e-129,1.7846e-135,1.3938e-129,1.5282e-131,7.3087e-135,1.771e-135,3.8954e-134,8.7605e-131,7.9965e-136,4.5822e-129,5.3651e-130,3.4043e-132,2.1617e-133,6.8637e-140,3.6165e-130,5.0754e-135,2.7126e-140,6.5711e-131,2.8207e-133,1.8967e-130,9.2387e-136,0.3835,1.803e-157,3.0913e-133,4.9952e-131,2.4961e-133,3.3123e-131,-2.322e+06,300,0.00093645,0.00053691,0
4.5844e-135,5.974e-138,5.2636e-137,0.1165,7.4218e-136,2.4406e-133,2.6997e-137,5.1037e-138,4.7221e-149,4.3582e-146,8.7393e-142,7.0518e-143,5.5347e-137,0.5,7.7749e-134,2.0933e-133,1.8298e-141,1.1293e-135,6.7436e-143,7.9303e-138,1.5824e-136,2.0748e-146,3.2657e-135,1.0477e-142,3.0711e-135,1.4652e-139,3.1105e-135,6.4244e-142,4.9581e-136,5.4255e-138,3.0364e-141,7.1114e-142,1.422e-140,3.0915e-137,3.3239e-142,1.769e-135,1.953e-136,1.2252e-138,8.1612e-140,2.8316e-146,1.2832e-136,1.8288e-141,1.0235e-146,2.334e-137,1.0051e-139,6.7422e-137,3.3966e-142,0.3835,6.1116e-164,1.1039e-139,1.7942e-137,9.0093e-140,1.1937e-137,-2.322e+06,300,0,0.0009396,0
1.2709e-127,1.4012e-130,1.2353e-129,0.1165,1.7406e-128,6.5343e-126,7.2571e-130,1.3845e-130,1.3676e-141,1.1363e-138,2.2917e-134,1.8442e-135,1.5034e-129,0.5,2.1417e-126,5.5358e-126,4.7842e-134,3.1049e-128,1.7769e-135,2.108e-130,4.3161e-129,5.5755e-139,9.1649e-128,2.8711e-135,8.5572e-128,3.9528e-132,8.6039e-128,1.7651e-134,1.3811e-128,1.5147e-130,7.1242e-134,1.7324e-134,3.8452e-133,8.6913e-130,7.7943e-135,4.5008e-128,5.2979e-129,3.3687e-131,2.1259e-132,6.6953e-139,3.5849e-129,5.0195e-134,2.6656e-139,6.5127e-130,2.7943e-132,1.8796e-129,9.1106e-135,0.3835,1.7997e-156,3.0614e-132,4.9424e-130,2.4679e-132,3.2756e-130,-2.322e+06,300,0.0010702,0.00013423,0
1.3593e-133,1.6695e-136,1.4713e-135,0.1165,2.074e-134,7.1491e-132,7.9456e-136,1.5057e-136,1.4132e-147,1.2717e-144,2.5548e-140,2.06e-141,1.6336e-135,0.5,2.3005e-132,6.1052e-132,5.3301e-140,3.3432e-134,1.9745e-141,2.3275e-136,4.6751e-135,6.1085e-145,9.7165e-134,3.0993e-141,9.1215e-134,4.3173e-138,9.2221e-134,1.9016e-140,1.4725e-134,1.6122e-136,8.4867e-140,2.0146e-140,4.1914e-139,9.2022e-136,9.2884e-141,5.0902e-134,5.7623e-135,3.6231e-137,2.3751e-138,7.9368e-145,3.8138e-135,5.4115e-140,2.9856e-145,6.9348e-136,2.9836e-138,2.0028e-135,9.9897e-141,0.3835,1.8399e-162,3.2749e-138,5.3141e-136,2.6648e-138,3.5323e-136,-2.322e+06,300,0.00026756,0.0010738,0
1.5859e-133,1.954e-136,1.7219e-135,0.1165,2.4274e-134,8.3402e-132,9.2359e-136,1.7517e-136,1.6562e-147,1.4749e-144,2.9634e-140,2.3889e-141,1.9005e-135,0.5,2.6835e-132,7.1228e-132,6.2003e-140,3.8949e-134,2.2905e-141,2.702e-136,5.4417e-135,7.0972e-145,1.1347e-133,3.6093e-141,1.0643e-133,5.0189e-138,1.0751e-133,2.2152e-140,1.7181e-134,1.8816e-136,9.9325e-140,2.3543e-140,4.8752e-139,1.0748e-135,1.0871e-140,5.9409e-134,6.7029e-135,4.226e-137,2.7619e-138,9.2852e-145,4.4513e-135,6.3035e-140,3.4624e-145,8.0929e-136,3.4804e-138,2.337e-135,1.1612e-140,0.3835,2.1604e-162,3.8192e-138,6.1923e-136,3.1032e-138,4.1142e-136,-2.322e+06,300,0.00026756,0.00013423,0
1.3903e-129,1.585e-132,1.3971e-131,0.1165,1.9689e-130,7.1967e-128,7.9915e-132,1.5217e-132,1.4802e-143,1.2592e-140,2.5366e-136,2.0425e-137,1.6519e-131,0.5,2.3459e-128,6.1117e-128,5.2964e-136,3.403e-130,1.9649e-137,2.3268e-132,4.7383e-131,6.1407e-141,1.0001e-129,3.149e-137,9.3521e-130,4.3497e-134,9.4178e-130,1.9349e-136,1.5095e-130,1.6547e-132,8.0582e-136,1.9444e-136,4.2291e-135,9.4806e-132,8.8171e-137,5.0074e-130,5.8229e-131,3.6913e-133,2.3554e-134,7.5609e-141,3.9158e-131,5.5034e-136,2.9546e-141,7.1156e-132,3.0553e-134,2.054e-131,1.0037e-136,0.3835,1.9437e-158,3.3492e-134,5.4147e-132,2.707e-134,3.5916e-132,-2.322e+06,300,0.00080268,0.00013423,0
1.4947e-131,1.7677e-134,1.558e-133,0.1165,2.196e-132,7.795e-130,8.648e-134,1.6435e-134,1.5756e-145,1.3716e-142,2.7596e-138,2.2233e-139,1.7837e-133,0.5,2.5255e-130,6.6374e-130,5.766e-138,3.665e-132,2.1354e-139,2.524e-134,5.1117e-133,6.6457e-143,1.0724e-131,3.3939e-139,1.0044e-131,4.7035e-136,1.013e-131,2.0842e-138,1.6212e-132,1.7764e-134,8.9865e-138,2.1501e-138,4.5708e-137,1.0162e-133,9.8342e-139,5.4841e-132,6.2891e-133,3.9755e-135,2.5663e-136,8.4172e-143,4.203e-133,5.9292e-138,3.2191e-143,7.6394e-134,3.2828e-136,2.2056e-133,1.0867e-138,0.3835,2.063e-160,3.6004e-136,5.8292e-134,2.9177e-136,3.8698e-134,-2.322e+06,300,0.00053512,0.00013423,0
1.6992e-134,2.1499e-137,1.8944e-136,0.1165,2.6709e-135,8.9867e-133,9.9433e-137,1.8832e-137,1.7637e-148,1.5955e-145,3.2029e-141,2.5831e-142,2.0427e-136,0.5,2.8781e-133,7.6902e-133,6.7055e-141,4.1784e-135,2.4737e-142,2.9141e-137,5.8451e-136,7.641e-146,1.2134e-134,3.874e-142,1.1394e-134,5.4002e-139,1.1523e-134,2.3767e-141,1.8394e-135,2.0137e-137,1.0928e-140,2.5752e-141,5.2437e-140,1.1491e-136,1.1962e-141,6.4539e-135,7.206e-136,4.5338e-138,2.9886e-139,1.0204e-145,4.7634e-136,6.7641e-141,3.7463e-146,8.6619e-137,3.7272e-139,2.5017e-136,1.2505e-141,0.3835,2.293e-163,4.0916e-139,6.641e-137,3.331e-139,4.415e-137,-2.322e+06,300,0.00013378,0.00053691,0
1.4644e-131,1.7311e-134,1.5257e-133,0.1165,2.1505e-132,7.6368e-130,8.4761e-134,1.6107e-134,1.5428e-145,1.3447e-142,2.7054e-138,2.1797e-139,1.748e-133,0.5,2.4743e-130,6.5026e-130,5.6508e-138,3.5912e-132,2.0934e-139,2.4742e-134,5.0093e-133,6.514e-143,1.0505e-131,3.3257e-139,9.8398e-132,4.6099e-136,9.9252e-132,2.0423e-138,1.5883e-132,1.7403e-134,8.8002e-138,2.106e-138,4.4797e-137,9.9549e-134,9.6303e-139,5.3724e-132,6.1635e-133,3.8949e-135,2.5151e-136,8.2431e-143,4.1175e-133,5.81e-138,3.1559e-143,7.4842e-134,3.2163e-136,2.1609e-133,1.0651e-138,0.3835,2.0197e-160,3.5275e-136,5.7118e-134,2.8591e-136,3.792e-134,-2.322e+06,300,0.00053512,0.00040268,0
